open,high,low,close,volume,type,interest
58.39,59.33,58.35,58.55,59792.0,1.0,0.23911187019642455
58.52,58.78,58.03,58.05,62077.0,0.0,0.8539709649871838
58.06,58.94,58.01,58.75,44489.0,1.0,1.191489361702125
58.78,58.87,58.05,58.3,47807.0,0.0,0.765957446808514
58.29,59.31,58.07,58.59,90029.0,1.0,0.49496501109403823
58.6,59.28,58.49,58.49,50929.0,0.0,0.170677590032426
58.49,58.61,56.68,57.43,158237.0,0.0,1.8122756026671283
57.44,57.6,56.93,56.98,59790.0,0.0,0.7835625979453198
56.97,57.26,56.58,56.83,58823.0,0.0,0.26325026325025647
56.81,56.98,55.42,55.5,106610.0,0.0,2.3403132148513066
55.51,55.74,53.77,54.24,220638.0,0.0,2.2702702702702595
54.25,54.94,53.36,53.39,203620.0,0.0,1.5671091445427834
53.42,54.65,52.2,53.73,245044.0,1.0,0.6327935976177201
53.73,54.31,52.0,52.34,176368.0,0.0,2.5870091196724303
52.32,53.54,51.58,52.34,207501.0,0.0,0.0
52.34,53.86,52.32,53.57,117657.0,1.0,2.2960612282994077
53.56,53.78,52.42,52.55,86474.0,0.0,1.9040507746873345
52.53,53.11,51.8,52.08,131156.0,0.0,0.8943862987630808
52.07,52.3,49.55,50.08,359067.0,0.0,3.8402457757296418
50.07,51.39,47.47,50.86,649225.0,1.0,1.5336217066457039
50.89,53.0,50.51,51.6,354481.0,1.0,1.4341085271317837
51.62,52.25,51.05,51.67,142350.0,1.0,0.13547513063673478
51.67,51.82,49.81,51.23,260444.0,0.0,0.851557964002339
51.24,52.31,50.84,51.49,155179.0,1.0,0.5049524179452476
51.48,52.78,51.45,52.61,126911.0,1.0,2.1288728378635255
52.59,53.5,52.0,52.45,173023.0,0.0,0.3041246911233486
52.44,52.47,51.52,51.79,137981.0,0.0,1.2583412774070553
51.81,52.01,51.27,51.53,75356.0,0.0,0.5020274184205249
51.51,51.84,50.07,50.24,196238.0,0.0,2.5033960799534185
50.29,50.9,49.71,49.86,127978.0,0.0,0.7563694267515899
49.88,50.42,49.43,49.53,114487.0,0.0,0.6618531889290011
49.55,51.21,48.82,50.62,199507.0,1.0,2.1532990912682664
50.63,50.99,49.74,50.4,110443.0,0.0,0.4346108257605721
50.38,50.77,49.17,49.23,116976.0,0.0,2.3214285714285694
49.23,49.86,48.94,49.24,114361.0,1.0,0.020308692120252658
49.24,49.67,48.14,48.95,187681.0,0.0,0.5889520714865881
48.92,49.02,47.83,47.84,128256.0,0.0,2.267620020429021
47.87,48.69,47.5,47.86,129154.0,1.0,0.04178854993732273
47.87,49.13,47.87,48.11,133868.0,1.0,0.5196424859696549
48.12,51.03,47.72,49.47,241596.0,1.0,2.749140893470795
49.48,50.8,49.0,50.39,114165.0,1.0,1.825759079182376
50.38,50.7,49.92,50.12,72430.0,0.0,0.5358205993252625
50.11,51.2,49.92,50.58,104698.0,1.0,0.9094503756425496
50.6,50.69,49.79,49.81,63966.0,0.0,1.5223408461842638
49.81,49.81,48.92,49.13,61208.0,0.0,1.3651877133105756
49.16,50.03,48.86,50.03,56945.0,1.0,1.7989206476114248
50.01,50.11,49.48,50.06,50217.0,1.0,0.059928086296451966
50.09,50.93,49.56,50.81,84158.0,1.0,1.4760873843731446
50.79,51.52,50.75,51.3,76978.0,1.0,0.9551656920077818
51.33,51.57,50.96,51.53,79599.0,1.0,0.44634193673589095
51.51,52.32,51.44,51.68,105144.0,1.0,0.29024767801857365
