open,high,low,close,volume,type,interest
24328,24536,24274,24508,292338,1,0.7140525542679796
24508,24634,24446,24501,229400,0,0.0285621021707243
24504,24508,24380,24497,192443,0,0.016325864250447353
24495,24507,24294,24402,235974,0,0.38780258807202017
24403,24505,24352,24493,151806,1,0.37153472420692424
24493,24548,24382,24437,213572,0,0.22863675335808864
24420,24436,24043,24108,402849,0,1.3463191062732847
24108,24210,23701,23890,704462,0,0.9042641446822586
23890,24027,23800,23956,273555,1,0.27550509266988854
23962,24127,23800,23912,455042,0,0.18367006177992096
23914,24012,23862,23899,328149,0,0.05436600869855113
23899,24140,23896,24119,324780,1,0.9121439529002089
24118,24237,24051,24189,345971,1,0.2893877382281147
24201,24247,24013,24065,346978,0,0.512629707718375
24074,24211,24013,24191,302904,1,0.5208548633789434
24196,24208,23263,23327,1245478,0,3.5715762060270464
23332,23523,23189,23312,539821,0,0.06430316800275193
23315,23385,23018,23318,885972,1,0.025731194785151956
23305,23500,23238,23428,476913,1,0.4695236469182049
23430,23669,23359,23608,470236,1,0.762453405625223
23607,23724,23514,23533,321250,0,0.3176889190105072
23541,23543,23334,23476,311826,0,0.2422130625079717
23476,23524,23325,23484,291589,1,0.03406574689148556
23477,23495,23101,23241,535689,0,1.0347470618293215
23248,23262,23024,23195,442920,0,0.19792607891226055
23192,23211,22655,22692,1000058,0,2.168570812675142
22685,23227,22662,23182,786189,1,2.113708912086963
23184,23185,22766,22980,516772,0,0.8713657147787188
22977,23181,22758,23007,744383,1,0.11735558742991259
23017,23295,22861,23245,589473,1,1.0238761023876037
23240,23274,22810,22900,551480,0,1.4841901484190174
22899,23319,22875,23126,634648,1,0.9772550376200115
23135,23360,22945,23139,457107,1,0.05618220320670275
23143,23186,22765,22769,434800,0,1.599031937421671
22785,22900,22538,22619,411959,0,0.6587904607141297
22621,22682,22377,22492,759513,0,0.5614748662628699
22489,22751,22451,22682,373579,1,0.8376686359227534
22689,22914,22636,22786,383110,1,0.4564206091459653
22781,23092,22776,22915,484383,1,0.5629500327296455
22928,23000,22756,22851,366323,0,0.2792930394937656
22857,22931,22636,22931,348876,1,0.3488727050717415
22933,23324,22802,23297,461763,1,1.5710177276044135
23303,23400,23244,23279,328748,0,0.0772631669313597
23287,23339,23134,23339,195127,1,0.25708042332577463
23336,23617,23336,23429,429438,1,0.38413931452473093
23421,23468,23282,23373,187829,0,0.2390200179265065
23365,23399,23170,23380,313473,1,0.029940119760468065
23389,23491,23262,23391,273301,1,0.04702663417552344
23382,23401,23038,23087,257385,0,1.2996451626694068
23097,23294,23089,23289,206777,1,0.86736227403496
23289,23326,23195,23286,223285,0,0.012881617931213896
23294,23369,23196,23243,272628,0,0.18466031091642776
23238,23309,23122,23245,274322,1,0.008604000860401584
23246,23301,23149,23235,212853,0,0.04302000430200792
23234,23277,22434,22590,682730,0,2.7759845061329855
22592,22733,21899,22109,1412779,0,2.129260734838425
22093,22195,22057,22093,405455,0,0.07236871862137662
22094,22258,22050,22222,328780,1,0.5805058050580527
22222,22268,22071,22176,329777,0,0.20700207002069249
22167,22330,22009,22258,388388,1,0.36840686494743125
22250,22295,22000,22017,358653,0,1.082756761613794
22031,22034,21260,21461,1272101,0,2.525321342598886
21455,21524,21209,21500,579999,1,0.18139534883721353
21500,21619,21387,21512,485326,1,0.05578281889178527
21510,21761,21380,21721,376152,1,0.9622024768657127
21721,21932,21681,21802,530379,1,0.37152554811486027
21807,21950,21763,21866,278137,1,0.29269185036129386
21866,21913,21727,21814,457917,0,0.23781212841855393
21820,21862,21645,21850,355104,1,0.16475972540047223
21849,22465,21842,22108,625535,1,1.1669983716301857
22105,22272,22010,22237,269382,1,0.5801142240410115
22241,22343,22094,22245,333262,1,0.03596313778378146
22240,22248,22032,22077,227627,0,0.7552258934591976
22088,22432,22088,22341,325062,1,1.1816838995568588
22347,22424,22120,22258,278456,0,0.37151425630007395
22261,22397,22106,22330,250041,1,0.32243618450515044
22337,22670,22291,22630,924594,1,1.3256738842244715
22637,23294,22573,22988,1102579,1,1.557334261353759
22980,23272,22832,23080,895080,1,0.3986135181975783
23076,23120,22551,22778,767776,0,1.3084922010398685
22782,23050,22776,22919,402257,1,0.6152100877001629
22917,23488,22903,23283,741311,1,1.5633724176437624
23288,23369,22974,23351,332290,1,0.2912080853068346
23352,23361,22854,22861,341160,0,2.0984112029463375
22865,23191,22852,23120,244952,1,1.1202422145328654
23110,23142,22815,22865,379554,0,1.1029411764705799
22872,22937,22681,22905,363247,1,0.174634359310204
22877,23090,22680,22696,301988,0,0.9124645273957697
22701,22806,22331,22448,377849,0,1.092703560098684
22446,22613,22279,22431,477421,0,0.07573057733428357
22431,22489,22351,22378,221810,0,0.23628014800944186
22378,22473,22256,22440,201440,1,0.27629233511586904
22440,22671,22421,22639,181227,1,0.8790140907283757
