candle,shade_high,shade_low,interest,type
180,28,54,0.7140525542679796,1
7,126,55,-0.0285621021707243,0
7,4,117,-0.0163258642504473,0
93,12,108,-0.3878025880720201,0
90,12,51,0.3715347242069242,1
56,55,55,-0.2286367533580886,0
312,16,65,-1.3463191062732849,0
218,102,189,-0.9042641446822586,0
66,71,90,0.2755050926698885,1
50,165,112,-0.1836700617799209,0
15,98,37,-0.0543660086985511,0
220,21,3,0.9121439529002088,1
71,48,67,0.2893877382281147,1
136,46,52,-0.512629707718375,0
117,20,61,0.5208548633789434,1
869,12,64,-3.5715762060270464,0
20,191,123,-0.0643031680027519,0
3,67,297,0.0257311947851519,1
123,72,67,0.4695236469182049,1
178,61,71,0.762453405625223,1
74,117,19,-0.3176889190105072,0
65,2,142,-0.2422130625079717,0
8,40,151,0.0340657468914855,1
236,18,140,-1.0347470618293215,0
53,14,171,-0.1979260789122605,0
500,19,37,-2.168570812675142,0
497,45,23,2.113708912086963,1
204,1,214,-0.8713657147787188,0
30,174,219,0.1173555874299125,1
228,50,156,1.0238761023876035,1
340,34,90,-1.4841901484190174,0
227,193,24,0.9772550376200116,1
4,221,190,0.0561822032067027,1
374,43,4,-1.599031937421671,0
166,115,81,-0.6587904607141297,0
129,61,115,-0.5614748662628699,0
193,69,38,0.8376686359227534,1
97,128,53,0.4564206091459653,1
134,177,5,0.5629500327296455,1
77,72,95,-0.2792930394937656,0
74,0,221,0.3488727050717415,1
364,27,131,1.5710177276044135,1
24,97,35,-0.0772631669313597,0
52,0,153,0.2570804233257746,1
93,188,0,0.3841393145247309,1
48,47,91,-0.2390200179265065,0
15,19,195,0.029940119760468,1
2,100,127,0.0470266341755234,1
295,19,49,-1.2996451626694068,0
192,5,8,0.86736227403496,1
3,37,91,-0.0128816179312138,0
51,75,47,-0.1846603109164277,0
7,64,116,0.0086040008604015,1
11,55,86,-0.0430200043020079,0
644,43,156,-2.775984506132985,0
483,141,210,-2.129260734838425,0
0,102,36,-0.0723687186213766,0
128,36,44,0.5805058050580527,1
46,46,105,-0.2070020700206924,0
91,72,158,0.3684068649474312,1
233,45,17,-1.082756761613794,0
570,3,201,-2.525321342598886,0
45,24,246,0.1813953488372135,1
12,107,113,0.0557828188917852,1
211,40,130,0.9622024768657128,1
81,130,40,0.3715255481148602,1
59,84,44,0.2926918503612938,1
52,47,87,-0.2378121284185539,0
30,12,175,0.1647597254004722,1
259,357,7,1.1669983716301855,1
132,35,95,0.5801142240410115,1
4,98,147,0.0359631377837814,1
163,8,45,-0.7552258934591976,0
253,91,0,1.1816838995568588,1
89,77,138,-0.3715142563000739,0
69,67,155,0.3224361845051504,1
293,40,46,1.3256738842244715,1
351,306,64,1.557334261353759,1
100,192,148,0.3986135181975783,1
298,44,227,-1.3084922010398683,0
137,131,6,0.6152100877001629,1
366,205,14,1.5633724176437624,1
63,18,314,0.2912080853068346,1
491,9,7,-2.098411202946337,0
255,71,13,1.1202422145328654,1
245,32,50,-1.10294117647058,0
33,32,191,0.174634359310204,1
181,213,16,-0.9124645273957696,0
253,105,117,-1.092703560098684,0
15,167,152,-0.0757305773342835,0
53,58,27,-0.2362801480094418,0
62,33,122,0.276292335115869,1
199,32,19,0.8790140907283757,1
339,61,31,-1.515084588541896,0
141,174,99,-0.6324004305705131,0
220,218,68,0.9832402234636816,1
33,249,75,0.0893056485822683,1
420,73,52,-1.8486269256530503,0
8,155,76,-0.0227469177926451,0
380,63,1,1.6601780999686897,1
4,77,88,0.0178962909936899,1
173,81,9,-0.7471701489866263,0
270,134,38,1.202458359312388,1
109,85,61,-0.4854368932038824,0
1,129,49,-0.0,0
79,92,59,-0.3848735735063826,0
105,18,111,0.4784047214522076,1
257,36,5,1.136012023162266,1
44,64,39,-0.1768112098307028,0
49,11,92,-0.2081211530797446,0
224,36,41,0.9928828749670516,1
100,42,147,-0.4349354186802685,0
11,31,107,-0.057362220359181,0
128,37,83,-0.5562913907284894,0
198,279,2,0.8539484109516593,1
188,207,58,0.8207456561599713,1
3,56,106,-0.0305596786867994,0
148,160,21,0.6119791666666714,1
46,55,78,0.2338269680436582,1
305,7,158,-1.3120290984671357,0
4,47,144,0.0131613582521765,1
36,264,83,-0.1052908660173699,0
347,207,11,1.5223596574690674,1
403,238,75,1.7548332271085485,1
505,61,27,2.092520176387381,1
121,352,207,0.500848545055689,1
42,63,128,-0.2483546504408167,0
203,104,130,0.8149154216569912,1
184,69,120,-0.7861052804873054,0
107,63,96,-0.4355762050941507,0
67,47,130,-0.2833215282696528,0
103,57,29,-0.4261897798019589,0
103,21,54,-0.4238177164197907,0
123,116,149,0.4238177164197907,1
